Attributes,169,"['ToyCar', 'ToyTrain', 'ac_0.01', 'ac_0.02', 'ac_0.03', 'ac_0.04', 'ac_0.05', 'ac_0.06', 'ac_0.07', 'ac_0.08', 'ac_0.09', 'ac_0.10', 'ac_0.11', 'ac_0.12', 'ac_0.14', 'bearing', 'car_A1', 'car_A2', 'car_C1', 'car_C2', 'car_E1', 'car_E2', 'car_F1', 'car_F2', 'car_G1', 'car_G2', 'car_H1', 'car_H2', 'f-n_A', 'f-n_B', 'f-n_C', 'f-n_D', 'fan', 'gearbox', 'id_00', 'id_01', 'id_02', 'id_03', 'id_04', 'id_05', 'id_06', 'id_07', 'id_08', 'id_11', 'id_12', 'id_13', 'loc_A', 'loc_B', 'loc_C', 'loc_D', 'loc_E', 'loc_F', 'loc_G', 'loc_H', 'm-n_W', 'm-n_X', 'm-n_Y', 'm-n_Z', 'mic_1', 'mic_2', 'n-lv_L1', 'n-lv_L2', 'n-lv_L3', 'n-lv_L4', 'noise_1', 'noise_2', 'noise_6', 'noise_7', 'panel_b-c', 'panel_bs-c', 'panel_open', 'panel_s-c', 'pat_00', 'pat_01', 'pat_02', 'pat_03', 'pat_04', 'pat_05', 'pat_06', 'pat_07', 'slider', 'spd_10', 'spd_28V', 'spd_31V', 'spd_34V', 'spd_37V', 'spd_40V', 'spd_6', 'spd_7', 'spd_8', 'spd_9', 'v1pat_04', 'v1pat_05', 'v2pat_05', 'valve', 'vel_10', 'vel_100', 'vel_1000', 'vel_11', 'vel_1100', 'vel_12', 'vel_1200', 'vel_13', 'vel_1300', 'vel_14', 'vel_140', 'vel_15', 'vel_16', 'vel_17', 'vel_175', 'vel_18', 'vel_19', 'vel_2', 'vel_20', 'vel_200', 'vel_21', 'vel_210', 'vel_22', 'vel_24', 'vel_250', 'vel_26', 'vel_290', 'vel_300', 'vel_325', 'vel_360', 'vel_4', 'vel_400', 'vel_5', 'vel_500', 'vel_6', 'vel_600', 'vel_7', 'vel_700', 'vel_8', 'vel_800', 'vel_9', 'vel_900', 'volt_0.6', 'volt_0.8', 'volt_1.0', 'volt_1.2', 'volt_1.3', 'volt_1.5', 'volt_1.7', 'volt_1.8', 'volt_2.0', 'volt_2.2', 'volt_2.3', 'volt_2.5', 'volt_2.7', 'volt_2.8', 'volt_3.0', 'volt_3.3', 'volt_3.5', 'wt_0', 'wt_100', 'wt_120', 'wt_130', 'wt_150', 'wt_170', 'wt_180', 'wt_20', 'wt_200', 'wt_230', 'wt_250', 'wt_30', 'wt_50', 'wt_70', 'wt_80']"

Source,124,"['ToyCar_car_A1_spd_28V_mic_1_noise_1', 'ToyCar_car_A1_spd_34V_mic_1_noise_1', 'ToyCar_car_A1_spd_40V_mic_1_noise_1', 'ToyCar_car_A2_spd_28V_mic_1_noise_1', 'ToyCar_car_A2_spd_34V_mic_1_noise_1', 'ToyCar_car_A2_spd_40V_mic_1_noise_1', 'ToyCar_car_E1_spd_28V_mic_1_noise_1', 'ToyCar_car_E1_spd_34V_mic_1_noise_1', 'ToyCar_car_E2_spd_28V_mic_1_noise_1', 'ToyCar_car_E2_spd_34V_mic_1_noise_1', 'ToyCar_car_F1_spd_31V_mic_1_noise_6', 'ToyCar_car_F1_spd_34V_mic_1_noise_6', 'ToyCar_car_F1_spd_37V_mic_1_noise_6', 'ToyCar_car_F2_spd_31V_mic_1_noise_6', 'ToyCar_car_F2_spd_34V_mic_1_noise_6', 'ToyCar_car_F2_spd_37V_mic_1_noise_6', 'ToyCar_car_H1_spd_31V_mic_1_noise_6', 'ToyCar_car_H1_spd_34V_mic_1_noise_6', 'ToyCar_car_H2_spd_31V_mic_1_noise_6', 'ToyCar_car_H2_spd_34V_mic_1_noise_6', 'ToyCar_car_H2_spd_37V_mic_1_noise_6', 'ToyTrain_car_A1_spd_10_mic_1_noise_1', 'ToyTrain_car_A1_spd_6_mic_1_noise_1', 'ToyTrain_car_A1_spd_8_mic_1_noise_1', 'ToyTrain_car_A2_spd_10_mic_1_noise_1', 'ToyTrain_car_A2_spd_6_mic_1_noise_1', 'ToyTrain_car_A2_spd_8_mic_1_noise_1', 'ToyTrain_car_E1_spd_6_mic_1_noise_1', 'ToyTrain_car_E1_spd_8_mic_1_noise_1', 'ToyTrain_car_E2_spd_6_mic_1_noise_1', 'ToyTrain_car_E2_spd_8_mic_1_noise_1', 'ToyTrain_car_F1_spd_7_mic_1_noise_6', 'ToyTrain_car_F1_spd_8_mic_1_noise_6', 'ToyTrain_car_F1_spd_9_mic_1_noise_6', 'ToyTrain_car_F2_spd_7_mic_1_noise_6', 'ToyTrain_car_F2_spd_8_mic_1_noise_6', 'ToyTrain_car_F2_spd_9_mic_1_noise_6', 'ToyTrain_car_H1_spd_7_mic_1_noise_6', 'ToyTrain_car_H1_spd_8_mic_1_noise_6', 'ToyTrain_car_H2_spd_7_mic_1_noise_6', 'ToyTrain_car_H2_spd_8_mic_1_noise_6', 'ToyTrain_car_H2_spd_9_mic_1_noise_6', 'bearing_vel_10', 'bearing_vel_10_f-n_A', 'bearing_vel_10_f-n_B', 'bearing_vel_12_loc_A', 'bearing_vel_12_loc_B', 'bearing_vel_12_loc_C', 'bearing_vel_12_loc_D', 'bearing_vel_13', 'bearing_vel_14', 'bearing_vel_14_f-n_A', 'bearing_vel_14_f-n_B', 'bearing_vel_16_loc_A', 'bearing_vel_16_loc_B', 'bearing_vel_16_loc_C', 'bearing_vel_16_loc_D', 'bearing_vel_17', 'bearing_vel_18', 'bearing_vel_21', 'bearing_vel_22', 'bearing_vel_2_f-n_A', 'bearing_vel_2_f-n_B', 'bearing_vel_4_loc_A', 'bearing_vel_4_loc_B', 'bearing_vel_4_loc_C', 'bearing_vel_4_loc_D', 'bearing_vel_5', 'bearing_vel_6', 'bearing_vel_6_f-n_A', 'bearing_vel_6_f-n_B', 'bearing_vel_8_loc_A', 'bearing_vel_8_loc_B', 'bearing_vel_8_loc_C', 'bearing_vel_8_loc_D', 'bearing_vel_9', 'fan_f-n_A', 'fan_f-n_B', 'fan_m-n_W', 'fan_m-n_X', 'fan_n-lv_L1', 'fan_n-lv_L2', 'gearbox_id_03', 'gearbox_id_05', 'gearbox_id_06', 'gearbox_id_07', 'gearbox_id_08', 'gearbox_id_13', 'gearbox_volt_1.0', 'gearbox_volt_1.5', 'gearbox_volt_2.0', 'gearbox_volt_2.5', 'gearbox_volt_3.0', 'gearbox_wt_0', 'gearbox_wt_100', 'gearbox_wt_150', 'gearbox_wt_200', 'gearbox_wt_50', 'slider_ac_0.03', 'slider_ac_0.05', 'slider_ac_0.07', 'slider_ac_0.09', 'slider_ac_0.11', 'slider_f-n_A', 'slider_f-n_B', 'slider_vel_100', 'slider_vel_1100', 'slider_vel_175', 'slider_vel_250', 'slider_vel_300', 'slider_vel_325', 'slider_vel_400', 'slider_vel_500', 'slider_vel_700', 'slider_vel_900', 'valve_pat_00', 'valve_pat_01', 'valve_pat_04_panel_bs-c', 'valve_pat_04_panel_open', 'valve_pat_05_panel_bs-c', 'valve_pat_05_panel_open', 'valve_v1pat_04', 'valve_v1pat_05', 'valve_v2pat_05']"
Target,146,"['ToyCar_car_A1_spd_31V_mic_1_noise_2', 'ToyCar_car_A1_spd_34V_mic_2_noise_2', 'ToyCar_car_A1_spd_37V_mic_1_noise_2', 'ToyCar_car_A1_spd_40V_mic_2_noise_2', 'ToyCar_car_A2_spd_31V_mic_1_noise_2', 'ToyCar_car_A2_spd_34V_mic_2_noise_2', 'ToyCar_car_A2_spd_37V_mic_1_noise_2', 'ToyCar_car_A2_spd_40V_mic_2_noise_2', 'ToyCar_car_C1_spd_28V_mic_1_noise_2', 'ToyCar_car_C1_spd_34V_mic_1_noise_2', 'ToyCar_car_C2_spd_28V_mic_1_noise_2', 'ToyCar_car_C2_spd_34V_mic_1_noise_2', 'ToyCar_car_F1_spd_28V_mic_1_noise_6', 'ToyCar_car_F1_spd_40V_mic_1_noise_6', 'ToyCar_car_F2_spd_28V_mic_1_noise_6', 'ToyCar_car_F2_spd_40V_mic_1_noise_6', 'ToyCar_car_G1_spd_28V_mic_1_noise_6', 'ToyCar_car_G1_spd_31V_mic_1_noise_6', 'ToyCar_car_G1_spd_34V_mic_1_noise_6', 'ToyCar_car_G1_spd_40V_mic_1_noise_6', 'ToyCar_car_G2_spd_28V_mic_1_noise_6', 'ToyCar_car_G2_spd_31V_mic_1_noise_6', 'ToyCar_car_G2_spd_34V_mic_1_noise_6', 'ToyCar_car_G2_spd_40V_mic_1_noise_6', 'ToyTrain_car_A1_spd_10_mic_2_noise_2', 'ToyTrain_car_A1_spd_7_mic_1_noise_2', 'ToyTrain_car_A1_spd_8_mic_2_noise_2', 'ToyTrain_car_A1_spd_9_mic_1_noise_2', 'ToyTrain_car_A2_spd_10_mic_2_noise_2', 'ToyTrain_car_A2_spd_7_mic_1_noise_2', 'ToyTrain_car_A2_spd_8_mic_2_noise_2', 'ToyTrain_car_A2_spd_9_mic_1_noise_2', 'ToyTrain_car_C1_spd_6_mic_1_noise_2', 'ToyTrain_car_C1_spd_8_mic_1_noise_2', 'ToyTrain_car_C2_spd_6_mic_1_noise_2', 'ToyTrain_car_C2_spd_8_mic_1_noise_2', 'ToyTrain_car_F1_spd_10_mic_1_noise_6', 'ToyTrain_car_F1_spd_6_mic_1_noise_6', 'ToyTrain_car_F2_spd_10_mic_1_noise_6', 'ToyTrain_car_F2_spd_6_mic_1_noise_6', 'ToyTrain_car_G1_spd_10_mic_1_noise_7', 'ToyTrain_car_G1_spd_6_mic_1_noise_7', 'ToyTrain_car_G1_spd_7_mic_1_noise_6', 'ToyTrain_car_G1_spd_8_mic_1_noise_6', 'ToyTrain_car_G2_spd_10_mic_1_noise_7', 'ToyTrain_car_G2_spd_6_mic_1_noise_7', 'ToyTrain_car_G2_spd_7_mic_1_noise_6', 'ToyTrain_car_G2_spd_8_mic_1_noise_6', 'bearing_vel_10_f-n_D', 'bearing_vel_11', 'bearing_vel_12', 'bearing_vel_12_loc_E', 'bearing_vel_12_loc_F', 'bearing_vel_12_loc_G', 'bearing_vel_12_loc_H', 'bearing_vel_14_f-n_C', 'bearing_vel_15', 'bearing_vel_16', 'bearing_vel_16_loc_E', 'bearing_vel_16_loc_F', 'bearing_vel_16_loc_G', 'bearing_vel_16_loc_H', 'bearing_vel_19', 'bearing_vel_2', 'bearing_vel_20', 'bearing_vel_24', 'bearing_vel_26', 'bearing_vel_2_f-n_D', 'bearing_vel_4', 'bearing_vel_4_loc_E', 'bearing_vel_4_loc_F', 'bearing_vel_4_loc_G', 'bearing_vel_4_loc_H', 'bearing_vel_6_f-n_C', 'bearing_vel_7', 'bearing_vel_8', 'bearing_vel_8_loc_E', 'bearing_vel_8_loc_F', 'bearing_vel_8_loc_G', 'bearing_vel_8_loc_H', 'fan_f-n_C', 'fan_f-n_D', 'fan_m-n_Y', 'fan_m-n_Z', 'fan_n-lv_L3', 'fan_n-lv_L4', 'gearbox_id_00', 'gearbox_id_01', 'gearbox_id_02', 'gearbox_id_04', 'gearbox_id_11', 'gearbox_id_12', 'gearbox_volt_0.6', 'gearbox_volt_0.8', 'gearbox_volt_1.2', 'gearbox_volt_1.3', 'gearbox_volt_1.7', 'gearbox_volt_1.8', 'gearbox_volt_2.2', 'gearbox_volt_2.3', 'gearbox_volt_2.7', 'gearbox_volt_2.8', 'gearbox_volt_3.3', 'gearbox_volt_3.5', 'gearbox_wt_120', 'gearbox_wt_130', 'gearbox_wt_170', 'gearbox_wt_180', 'gearbox_wt_20', 'gearbox_wt_230', 'gearbox_wt_250', 'gearbox_wt_30', 'gearbox_wt_70', 'gearbox_wt_80', 'slider_ac_0.01', 'slider_ac_0.02', 'slider_ac_0.04', 'slider_ac_0.06', 'slider_ac_0.08', 'slider_ac_0.10', 'slider_ac_0.12', 'slider_ac_0.14', 'slider_f-n_C', 'slider_f-n_D', 'slider_vel_100', 'slider_vel_1000', 'slider_vel_1200', 'slider_vel_1300', 'slider_vel_140', 'slider_vel_200', 'slider_vel_210', 'slider_vel_290', 'slider_vel_360', 'slider_vel_400', 'slider_vel_600', 'slider_vel_800', 'valve_pat_02', 'valve_pat_03', 'valve_pat_04_panel_b-c', 'valve_pat_04_panel_s-c', 'valve_pat_05_panel_b-c', 'valve_pat_05_panel_s-c', 'valve_pat_06', 'valve_pat_07', 'valve_v1pat_04_v2pat_05', 'valve_v1pat_05_v2pat_05']"

Source,ToyCar_car_A1_spd_28V_mic_1_noise_1,407
Source,ToyCar_car_A1_spd_34V_mic_1_noise_1,409
Source,ToyCar_car_A1_spd_40V_mic_1_noise_1,544
Source,ToyCar_car_A2_spd_28V_mic_1_noise_1,411
Source,ToyCar_car_A2_spd_34V_mic_1_noise_1,409
Source,ToyCar_car_A2_spd_40V_mic_1_noise_1,546
