decision threshold,238.92445504479258
section_01_source_test_normal_0000_car_A1_spd_10_mic_1_noise_1.wav,216.0423260574625,0
section_01_source_test_normal_0001_car_A1_spd_10_mic_1_noise_1.wav,172.697470665945,0
section_01_source_test_normal_0002_car_A1_spd_10_mic_1_noise_1.wav,174.99945962557763,0
section_01_source_test_normal_0003_car_A1_spd_10_mic_1_noise_1.wav,190.78214283344664,0
section_01_source_test_normal_0004_car_A1_spd_10_mic_1_noise_1.wav,162.21351509398846,0
section_01_source_test_normal_0005_car_A1_spd_10_mic_1_noise_1.wav,187.53763162951662,0
section_01_source_test_normal_0006_car_A2_spd_10_mic_1_noise_1.wav,199.5839300676966,0
section_01_source_test_normal_0007_car_A2_spd_10_mic_1_noise_1.wav,173.13940052660553,0
section_01_source_test_normal_0008_car_A2_spd_10_mic_1_noise_1.wav,193.8145359239756,0
section_01_source_test_normal_0009_car_A2_spd_10_mic_1_noise_1.wav,191.2441843424703,0
section_01_source_test_normal_0010_car_A2_spd_10_mic_1_noise_1.wav,181.2630160143815,0
section_01_source_test_normal_0011_car_A1_spd_10_mic_1_noise_1.wav,189.87572914833714,0
section_01_source_test_normal_0012_car_A1_spd_10_mic_1_noise_1.wav,205.4097039543501,0
section_01_source_test_normal_0013_car_A1_spd_10_mic_1_noise_1.wav,195.20692194737921,0
section_01_source_test_normal_0014_car_A1_spd_10_mic_1_noise_1.wav,181.11923704262142,0
section_01_source_test_normal_0015_car_A1_spd_10_mic_1_noise_1.wav,176.4732437529742,0
section_01_source_test_normal_0016_car_A2_spd_10_mic_1_noise_1.wav,232.5195625065898,0
section_01_source_test_normal_0017_car_A2_spd_10_mic_1_noise_1.wav,191.4536966834662,0
section_01_source_test_normal_0018_car_A2_spd_10_mic_1_noise_1.wav,188.11871681317956,0
section_01_source_test_normal_0019_car_A2_spd_10_mic_1_noise_1.wav,187.12080437026208,0
section_01_source_test_normal_0020_car_A2_spd_10_mic_1_noise_1.wav,161.4681035240294,0
section_01_source_test_normal_0021_car_A1_spd_10_mic_1_noise_1.wav,181.5258118775402,0
section_01_source_test_normal_0022_car_A1_spd_10_mic_1_noise_1.wav,198.2549809360239,0
