decision threshold,383.991480236446
section_02_source_test_normal_0000_vel_14_f-n_B.wav,2381.805583307306,1
section_02_source_test_normal_0001_vel_6_f-n_B.wav,2083.2479393278845,1
section_02_source_test_normal_0002_vel_14_f-n_A.wav,2458.2041596076924,1
section_02_source_test_normal_0003_vel_6_f-n_B.wav,2081.47706030454,1
section_02_source_test_normal_0004_vel_6_f-n_A.wav,1235.606691057863,1
section_02_source_test_normal_0005_vel_14_f-n_B.wav,2426.2652889941637,1
section_02_source_test_normal_0006_vel_6_f-n_B.wav,2292.6488054749216,1
section_02_source_test_normal_0007_vel_14_f-n_B.wav,2503.6732818764203,1
section_02_source_test_normal_0008_vel_14_f-n_B.wav,2534.8246117134977,1
section_02_source_test_normal_0009_vel_14_f-n_A.wav,2671.256919591593,1
section_02_source_test_normal_0010_vel_14_f-n_A.wav,2624.211574514812,1
section_02_source_test_normal_0011_vel_14_f-n_A.wav,3003.6986533467334,1
section_02_source_test_normal_0012_vel_14_f-n_B.wav,2202.2352409519335,1
section_02_source_test_normal_0013_vel_14_f-n_B.wav,2808.280661457944,1
section_02_source_test_normal_0014_vel_14_f-n_B.wav,2414.42443956849,1
section_02_source_test_normal_0015_vel_6_f-n_A.wav,2165.7756353718996,1
section_02_source_test_normal_0016_vel_14_f-n_B.wav,2569.499310648621,1
section_02_source_test_normal_0017_vel_6_f-n_A.wav,2172.4758191667624,1
section_02_source_test_normal_0018_vel_6_f-n_A.wav,2045.3227237481117,1
section_02_source_test_normal_0019_vel_6_f-n_B.wav,1035.9914521219298,1
section_02_source_test_normal_0020_vel_6_f-n_B.wav,1933.8496663010264,1
section_02_source_test_normal_0021_vel_6_f-n_B.wav,2506.7214008021137,1
section_02_source_test_normal_0022_vel_14_f-n_B.wav,2417.6353064061304,1
section_02_source_test_normal_0023_vel_14_f-n_B.wav,2372.5540621572736,1
section_02_source_test_normal_0024_vel_6_f-n_B.wav,2440.787547764211,1
section_02_source_test_normal_0025_vel_6_f-n_A.wav,2368.9369357490596,1
section_02_source_test_normal_0026_vel_14_f-n_A.wav,2444.0620307017944,1
section_02_source_test_normal_0027_vel_6_f-n_A.wav,2118.0094014351853,1
section_02_source_test_normal_0028_vel_6_f-n_A.wav,2039.1802280646732,1
section_02_source_test_normal_0029_vel_6_f-n_A.wav,2061.3054106513564,1
section_02_source_test_normal_0030_vel_6_f-n_B.wav,2210.6062847477087,1
section_02_source_test_normal_0031_vel_6_f-n_A.wav,1612.2739835159066,1
section_02_source_test_normal_0032_vel_14_f-n_A.wav,2529.9478924503865,1
section_02_source_test_normal_0033_vel_6_f-n_B.wav,2235.4985435603394,1
section_02_source_test_normal_0034_vel_6_f-n_A.wav,2087.9449547945032,1
section_02_source_test_normal_0035_vel_6_f-n_B.wav,2592.4778159230073,1
section_02_source_test_normal_0036_vel_14_f-n_A.wav,1406.4012309062055,1
section_02_source_test_normal_0037_vel_14_f-n_A.wav,2459.4505616936704,1
section_02_source_test_normal_0038_vel_6_f-n_B.wav,1941.5928754637177,1
section_02_source_test_normal_0039_vel_14_f-n_A.wav,1937.963293980849,1
