decision threshold,163.60087838520053
section_01_source_test_normal_0000_f-n_A.wav,99.94369668667281,0
section_01_source_test_normal_0001_f-n_A.wav,200.98580469182937,1
section_01_source_test_normal_0002_f-n_A.wav,209.25062996296643,1
section_01_source_test_normal_0003_f-n_A.wav,93.10838516555745,0
section_01_source_test_normal_0004_f-n_A.wav,273.4216088815715,1
section_01_source_test_normal_0005_f-n_B.wav,120.79410661355402,0
section_01_source_test_normal_0006_f-n_A.wav,97.02864655270531,0
section_01_source_test_normal_0007_f-n_A.wav,97.35799452205188,0
section_01_source_test_normal_0008_f-n_B.wav,105.52983909054802,0
section_01_source_test_normal_0009_f-n_A.wav,173.38007028599273,1
section_01_source_test_normal_0010_f-n_B.wav,106.95727180295287,0
section_01_source_test_normal_0011_f-n_B.wav,181.08849478140385,1
section_01_source_test_normal_0012_f-n_B.wav,108.67331054968918,0
section_01_source_test_normal_0013_f-n_B.wav,103.63430593325882,0
section_01_source_test_normal_0014_f-n_A.wav,97.64111773371931,0
section_01_source_test_normal_0015_f-n_A.wav,102.10068214235193,0
section_01_source_test_normal_0016_f-n_B.wav,136.5015737151688,0
section_01_source_test_normal_0017_f-n_A.wav,100.42778722840941,0
section_01_source_test_normal_0018_f-n_A.wav,95.96027198404857,0
section_01_source_test_normal_0019_f-n_B.wav,181.17962309448487,1
section_01_source_test_normal_0020_f-n_B.wav,125.77963307185479,0
section_01_source_test_normal_0021_f-n_B.wav,118.65992593565804,0
section_01_source_test_normal_0022_f-n_B.wav,207.18746154054378,1
section_01_source_test_normal_0023_f-n_A.wav,92.40616764375179,0
section_01_source_test_normal_0024_f-n_B.wav,180.95418663845908,1
section_01_source_test_normal_0025_f-n_B.wav,158.01528808964724,0
section_01_source_test_normal_0026_f-n_A.wav,137.72124778843656,0
section_01_source_test_normal_0027_f-n_A.wav,202.24303787317808,1
section_01_source_test_normal_0028_f-n_A.wav,124.51499410141165,0
section_01_source_test_normal_0029_f-n_A.wav,97.85568051078172,0
section_01_source_test_normal_0030_f-n_B.wav,274.82931786989184,1
section_01_source_test_normal_0031_f-n_B.wav,124.63893175044907,0
section_01_source_test_normal_0032_f-n_A.wav,294.5464640181658,1
section_01_source_test_normal_0033_f-n_A.wav,95.41640671647014,0
section_01_source_test_normal_0034_f-n_A.wav,96.82063900119505,0
section_01_source_test_normal_0035_f-n_A.wav,129.27642725929385,0
section_01_source_test_normal_0036_f-n_A.wav,174.76621120851016,1
section_01_source_test_normal_0037_f-n_B.wav,131.9637426392774,0
section_01_source_test_normal_0038_f-n_B.wav,115.82338303226436,0
section_01_source_test_normal_0039_f-n_B.wav,109.02129773685178,0
section_01_source_test_normal_0040_f-n_B.wav,400.1820968407918,1
section_01_source_test_normal_0041_f-n_B.wav,204.24135786073697,1
section_01_source_test_normal_0042_f-n_B.wav,115.08761137422019,0
section_01_source_test_normal_0043_f-n_B.wav,137.07356466297344,0
section_01_source_test_normal_0044_f-n_A.wav,110.51307468526338,0
section_01_source_test_normal_0045_f-n_B.wav,198.34939071314994,1
section_01_source_test_normal_0046_f-n_B.wav,189.33801254523283,1
section_01_source_test_normal_0047_f-n_A.wav,91.62379289102554,0
section_01_source_test_normal_0048_f-n_A.wav,106.86462958892258,0
section_01_source_test_normal_0049_f-n_B.wav,221.05583016654973,1
section_01_target_test_normal_0000_f-n_C.wav,246.56964301073393,1
section_01_target_test_normal_0001_f-n_C.wav,413.4227886757121,1
section_01_target_test_normal_0002_f-n_C.wav,303.03761647355077,1
section_01_target_test_normal_0003_f-n_C.wav,382.47908923219256,1
section_01_target_test_normal_0004_f-n_C.wav,275.583753544277,1
section_01_target_test_normal_0005_f-n_C.wav,311.41268072616936,1
section_01_target_test_normal_0006_f-n_C.wav,624.7878902975755,1
section_01_target_test_normal_0007_f-n_C.wav,221.21598962304475,1
section_01_target_test_normal_0008_f-n_C.wav,420.2545673842311,1
section_01_target_test_normal_0009_f-n_C.wav,402.93608484418826,1
section_01_target_test_normal_0010_f-n_C.wav,356.2896977127558,1
section_01_target_test_normal_0011_f-n_C.wav,557.6593970954069,1
section_01_target_test_normal_0012_f-n_C.wav,378.62666493402094,1
section_01_target_test_normal_0013_f-n_C.wav,474.99477585200486,1
section_01_target_test_normal_0014_f-n_C.wav,469.4474533966877,1
section_01_target_test_normal_0015_f-n_C.wav,382.6217238895672,1
section_01_target_test_normal_0016_f-n_C.wav,265.57115080198355,1
section_01_target_test_normal_0017_f-n_C.wav,243.24901356400156,1
section_01_target_test_normal_0018_f-n_C.wav,557.1974615143387,1
section_01_target_test_normal_0019_f-n_C.wav,412.98413756663274,1
section_01_target_test_normal_0020_f-n_C.wav,402.1519469946779,1
section_01_target_test_normal_0021_f-n_C.wav,288.31885918690443,1
section_01_target_test_normal_0022_f-n_C.wav,238.11049594141642,1
section_01_target_test_normal_0023_f-n_C.wav,525.7558546365304,1
section_01_target_test_normal_0024_f-n_C.wav,390.21856004598203,1
section_01_target_test_normal_0025_f-n_C.wav,344.4528306327969,1
section_01_target_test_normal_0026_f-n_C.wav,236.7542590525596,1
section_01_target_test_normal_0027_f-n_C.wav,316.1140964552362,1
section_01_target_test_normal_0028_f-n_C.wav,158.12420733460382,0
section_01_target_test_normal_0029_f-n_C.wav,242.6751765134786,1
section_01_target_test_normal_0030_f-n_C.wav,366.9287248685156,1
section_01_target_test_normal_0031_f-n_C.wav,313.1183204350973,1
section_01_target_test_normal_0032_f-n_C.wav,225.8005574207033,1
section_01_target_test_normal_0033_f-n_C.wav,192.99090463483356,1
section_01_target_test_normal_0034_f-n_C.wav,269.90339802522817,1
section_01_target_test_normal_0035_f-n_C.wav,322.444806682047,1
section_01_target_test_normal_0036_f-n_C.wav,522.7676509498909,1
section_01_target_test_normal_0037_f-n_C.wav,290.10355628361106,1
