decision threshold,97.88373118669097
section_02_source_test_normal_0000_f-n_B.wav,163.10717491725188,1
section_02_source_test_normal_0001_f-n_B.wav,163.2426579901002,1
section_02_source_test_normal_0002_f-n_A.wav,181.13055040405845,1
section_02_source_test_normal_0003_f-n_B.wav,199.41300744236491,1
section_02_source_test_normal_0004_f-n_A.wav,158.6063507575243,1
section_02_source_test_normal_0005_f-n_B.wav,314.42641876177055,1
section_02_source_test_normal_0006_f-n_A.wav,140.4735199926062,1
section_02_source_test_normal_0007_f-n_B.wav,372.87829928247686,1
section_02_source_test_normal_0008_f-n_A.wav,1276.65596369078,1
section_02_source_test_normal_0009_f-n_A.wav,153.08382601909375,1
section_02_source_test_normal_0010_f-n_B.wav,317.4654274524935,1
section_02_source_test_normal_0011_f-n_B.wav,184.07882760269064,1
section_02_source_test_normal_0012_f-n_B.wav,170.30734596827585,1
section_02_source_test_normal_0013_f-n_B.wav,187.10804937666398,1
section_02_source_test_normal_0014_f-n_B.wav,198.6296851300313,1
section_02_source_test_normal_0015_f-n_B.wav,227.95423299726593,1
section_02_source_test_normal_0016_f-n_B.wav,351.64583986403494,1
section_02_source_test_normal_0017_f-n_B.wav,209.05802916400415,1
section_02_source_test_normal_0018_f-n_B.wav,156.19445596200302,1
section_02_source_test_normal_0019_f-n_B.wav,265.601561142698,1
section_02_source_test_normal_0020_f-n_B.wav,173.25793065630603,1
section_02_source_test_normal_0021_f-n_B.wav,239.1074248403337,1
section_02_source_test_normal_0022_f-n_A.wav,246.41982337882405,1
section_02_source_test_normal_0023_f-n_A.wav,157.49641669564863,1
section_02_source_test_normal_0024_f-n_A.wav,333.15859928095455,1
section_02_source_test_normal_0025_f-n_A.wav,159.91813402305053,1
section_02_source_test_normal_0026_f-n_A.wav,147.11654856295087,1
section_02_source_test_normal_0027_f-n_B.wav,426.71238460420557,1
section_02_source_test_normal_0028_f-n_B.wav,363.4250306456697,1
section_02_source_test_normal_0029_f-n_B.wav,179.71639670529447,1
section_02_source_test_normal_0030_f-n_B.wav,269.3594001700057,1
section_02_source_test_normal_0031_f-n_B.wav,181.41786056989508,1
section_02_source_test_normal_0032_f-n_A.wav,143.3396467412984,1
section_02_source_test_normal_0033_f-n_A.wav,142.4251139771007,1
section_02_source_test_normal_0034_f-n_B.wav,171.39607189661797,1
section_02_source_test_normal_0035_f-n_A.wav,233.37497863805254,1
section_02_source_test_normal_0036_f-n_A.wav,288.6402448194412,1
section_02_source_test_normal_0037_f-n_B.wav,359.9283345764688,1
section_02_source_test_normal_0038_f-n_B.wav,179.85687901376014,1
section_02_source_test_normal_0039_f-n_A.wav,232.78542740421335,1
section_02_source_test_normal_0040_f-n_B.wav,310.26569902815305,1
section_02_source_test_normal_0041_f-n_B.wav,190.37461396703668,1
section_02_source_test_normal_0042_f-n_B.wav,173.69118371953465,1
section_02_source_test_normal_0043_f-n_A.wav,295.56776319948773,1
section_02_source_test_normal_0044_f-n_B.wav,173.61741683071926,1
section_02_source_test_normal_0045_f-n_A.wav,138.4735276261187,1
section_02_source_test_normal_0046_f-n_B.wav,297.7498149387839,1
section_02_source_test_normal_0047_f-n_B.wav,406.8281367474666,1
section_02_source_test_normal_0048_f-n_B.wav,304.7890488539745,1
section_02_source_test_normal_0049_f-n_B.wav,238.50096239985157,1
section_02_target_test_normal_0000_f-n_C.wav,268.43833161753037,1
section_02_target_test_normal_0001_f-n_C.wav,321.2228820945831,1
section_02_target_test_normal_0002_f-n_C.wav,478.8513030762632,1
section_02_target_test_normal_0003_f-n_C.wav,360.52347124111367,1
section_02_target_test_normal_0004_f-n_C.wav,398.47857458902286,1
section_02_target_test_normal_0005_f-n_C.wav,309.1404773588061,1
section_02_target_test_normal_0006_f-n_C.wav,415.0481894578628,1
section_02_target_test_normal_0007_f-n_C.wav,423.54085450144294,1
section_02_target_test_normal_0008_f-n_C.wav,291.48711197900354,1
section_02_target_test_normal_0009_f-n_C.wav,293.4092049019421,1
section_02_target_test_normal_0010_f-n_C.wav,226.52085712862947,1
section_02_target_test_normal_0011_f-n_C.wav,302.2824055006981,1
section_02_target_test_normal_0012_f-n_C.wav,396.61344108938636,1
section_02_target_test_normal_0013_f-n_C.wav,250.66706295924502,1
section_02_target_test_normal_0014_f-n_C.wav,333.22587317402815,1
section_02_target_test_normal_0015_f-n_C.wav,343.1245470361974,1
section_02_target_test_normal_0016_f-n_C.wav,352.2322482251282,1
section_02_target_test_normal_0017_f-n_C.wav,311.4508063664195,1
section_02_target_test_normal_0018_f-n_C.wav,302.6661468531184,1
section_02_target_test_normal_0019_f-n_C.wav,602.3487478070621,1
section_02_target_test_normal_0020_f-n_C.wav,344.51808362111626,1
section_02_target_test_normal_0021_f-n_C.wav,314.8689879355733,1
section_02_target_test_normal_0022_f-n_C.wav,454.9599808554309,1
section_02_target_test_normal_0023_f-n_C.wav,306.47176173121784,1
section_02_target_test_normal_0024_f-n_C.wav,259.571491895605,1
section_02_target_test_normal_0025_f-n_C.wav,325.2263261174909,1
section_02_target_test_normal_0026_f-n_C.wav,278.973671692609,1
section_02_target_test_normal_0027_f-n_C.wav,390.6078421276123,1
section_02_target_test_normal_0028_f-n_C.wav,329.378787669431,1
section_02_target_test_normal_0029_f-n_C.wav,334.5478768638561,1
section_02_target_test_normal_0030_f-n_C.wav,301.18307701626406,1
section_02_target_test_normal_0031_f-n_C.wav,288.21249724180467,1
section_02_target_test_normal_0032_f-n_C.wav,310.9675104803417,1
section_02_target_test_normal_0033_f-n_C.wav,388.4631925567843,1
section_02_target_test_normal_0034_f-n_C.wav,380.1306422848653,1
section_02_target_test_normal_0035_f-n_C.wav,246.48788135920142,1
section_02_target_test_normal_0036_f-n_C.wav,261.8673155569267,1
section_02_target_test_normal_0037_f-n_C.wav,291.0352689691103,1
section_02_target_test_normal_0038_f-n_C.wav,392.9085647531173,1
section_02_target_test_normal_0039_f-n_C.wav,433.62879720428737,1
section_02_target_test_normal_0040_f-n_C.wav,298.59886299394765,1
section_02_target_test_normal_0041_f-n_C.wav,288.66527143467215,1
section_02_target_test_normal_0042_f-n_C.wav,600.9865677134654,1
section_02_target_test_normal_0043_f-n_C.wav,287.55537788803355,1
section_02_target_test_normal_0044_f-n_C.wav,271.3927615249241,1
section_02_target_test_normal_0045_f-n_C.wav,363.3680960137939,1
section_02_target_test_normal_0046_f-n_C.wav,453.1591967363799,1
section_02_target_test_normal_0047_f-n_C.wav,291.61555662272707,1
section_02_target_test_normal_0048_f-n_C.wav,393.5129383987143,1
section_02_target_test_normal_0049_f-n_C.wav,360.2025834894466,1
section_02_source_test_anomaly_0000_f-n_A.wav,899.8674124379912,1
section_02_source_test_anomaly_0001_f-n_A.wav,1093.723806088324,1
section_02_source_test_anomaly_0002_f-n_A.wav,461.1268317597327,1
section_02_source_test_anomaly_0003_f-n_A.wav,484.1511915202593,1
section_02_source_test_anomaly_0004_f-n_B.wav,763.4705978570797,1
section_02_source_test_anomaly_0005_f-n_B.wav,602.9043169265684,1
section_02_source_test_anomaly_0006_f-n_B.wav,842.9069686111399,1
section_02_source_test_anomaly_0007_f-n_B.wav,271.66394334327646,1
section_02_source_test_anomaly_0008_f-n_B.wav,855.1084886607981,1
section_02_source_test_anomaly_0009_f-n_B.wav,708.9025423883005,1
section_02_source_test_anomaly_0010_f-n_B.wav,569.5268435176923,1
section_02_source_test_anomaly_0011_f-n_A.wav,190.98082789273923,1
section_02_source_test_anomaly_0012_f-n_A.wav,458.54936514731276,1
section_02_source_test_anomaly_0013_f-n_A.wav,196.9496267295819,1
section_02_source_test_anomaly_0014_f-n_B.wav,214.78118807236768,1
section_02_source_test_anomaly_0015_f-n_B.wav,821.8578047903515,1
section_02_source_test_anomaly_0016_f-n_B.wav,237.4884393706967,1
section_02_source_test_anomaly_0017_f-n_A.wav,683.1274439891168,1
section_02_source_test_anomaly_0018_f-n_B.wav,698.4482662447955,1
section_02_source_test_anomaly_0019_f-n_A.wav,171.0656048787812,1
section_02_source_test_anomaly_0020_f-n_B.wav,805.6586186725775,1
section_02_source_test_anomaly_0021_f-n_B.wav,189.47946172609568,1
section_02_source_test_anomaly_0022_f-n_B.wav,687.8736649165868,1
section_02_source_test_anomaly_0023_f-n_A.wav,722.6207784199502,1
section_02_source_test_anomaly_0024_f-n_B.wav,734.0745417848135,1
section_02_source_test_anomaly_0025_f-n_B.wav,241.3459909360207,1
section_02_source_test_anomaly_0026_f-n_A.wav,674.9943040509214,1
section_02_source_test_anomaly_0027_f-n_B.wav,298.2800817802676,1
section_02_source_test_anomaly_0028_f-n_A.wav,684.7354309071931,1
section_02_source_test_anomaly_0029_f-n_B.wav,361.4238092705928,1
section_02_source_test_anomaly_0030_f-n_A.wav,541.1788835742766,1
section_02_source_test_anomaly_0031_f-n_B.wav,327.4786891448484,1
section_02_source_test_anomaly_0032_f-n_A.wav,639.5993998385849,1
section_02_source_test_anomaly_0033_f-n_B.wav,235.20523799985017,1
section_02_source_test_anomaly_0034_f-n_B.wav,280.1045996044803,1
section_02_source_test_anomaly_0035_f-n_A.wav,489.63279915417934,1
section_02_source_test_anomaly_0036_f-n_A.wav,186.5597105948563,1
section_02_source_test_anomaly_0037_f-n_B.wav,671.3047117904267,1
section_02_source_test_anomaly_0038_f-n_A.wav,728.6780706669534,1
section_02_source_test_anomaly_0039_f-n_A.wav,436.6509535841025,1
section_02_source_test_anomaly_0040_f-n_A.wav,592.3392145909469,1
section_02_source_test_anomaly_0041_f-n_B.wav,539.7560879628085,1
section_02_source_test_anomaly_0042_f-n_B.wav,462.85035115920766,1
section_02_source_test_anomaly_0043_f-n_B.wav,884.2818783764025,1
section_02_source_test_anomaly_0044_f-n_B.wav,610.6068376505888,1
section_02_source_test_anomaly_0045_f-n_B.wav,824.7486645911277,1
section_02_source_test_anomaly_0046_f-n_A.wav,683.9448700452798,1
section_02_source_test_anomaly_0047_f-n_A.wav,769.2839296500102,1
section_02_source_test_anomaly_0048_f-n_A.wav,632.3575037969996,1
section_02_source_test_anomaly_0049_f-n_B.wav,667.8141580398852,1
section_02_target_test_anomaly_0000_f-n_C.wav,959.1501744228716,1
section_02_target_test_anomaly_0001_f-n_C.wav,838.2416494990247,1
section_02_target_test_anomaly_0002_f-n_C.wav,1012.9012288890336,1
section_02_target_test_anomaly_0003_f-n_C.wav,424.51142491860224,1
section_02_target_test_anomaly_0004_f-n_C.wav,318.5672759217523,1
section_02_target_test_anomaly_0005_f-n_C.wav,817.9091841698033,1
section_02_target_test_anomaly_0006_f-n_C.wav,373.71402765944254,1
section_02_target_test_anomaly_0007_f-n_C.wav,334.1082883402335,1
