decision threshold,284.7093522062738
section_02_source_test_normal_0000_v1pat_04.wav,304.8089600369258,1
section_02_source_test_normal_0001_v2pat_05.wav,207.273905956724,0
section_02_source_test_normal_0002_v1pat_04.wav,467.7241319528504,1
section_02_source_test_normal_0003_v1pat_05.wav,271.68591346681956,0
section_02_source_test_normal_0004_v1pat_04.wav,686.1777967277964,1
section_02_source_test_normal_0005_v1pat_05.wav,457.8440570440332,1
section_02_source_test_normal_0006_v2pat_05.wav,252.5619604497779,0
section_02_source_test_normal_0007_v1pat_05.wav,297.20392121886096,1
section_02_source_test_normal_0008_v1pat_04.wav,277.2033099094988,0
section_02_source_test_normal_0009_v1pat_04.wav,480.5384743716938,1
section_02_source_test_normal_0010_v1pat_05.wav,238.65610175991915,0
section_02_source_test_normal_0011_v1pat_05.wav,237.06115565809102,0
section_02_source_test_normal_0012_v1pat_04.wav,292.38912046678695,1
section_02_source_test_normal_0013_v2pat_05.wav,267.6632408105001,0
section_02_source_test_normal_0014_v2pat_05.wav,242.33535581432616,0
section_02_source_test_normal_0015_v1pat_04.wav,329.7850037736216,1
section_02_source_test_normal_0016_v1pat_04.wav,297.53885839256327,1
section_02_source_test_normal_0017_v1pat_04.wav,844.9706952327955,1
section_02_source_test_normal_0018_v2pat_05.wav,214.48027960304785,0
section_02_source_test_normal_0019_v2pat_05.wav,635.231664551767,1
section_02_source_test_normal_0020_v2pat_05.wav,253.38662543966015,0
section_02_source_test_normal_0021_v1pat_05.wav,299.7053012988257,1
section_02_source_test_normal_0022_v1pat_04.wav,420.24538170162475,1
section_02_source_test_normal_0023_v1pat_04.wav,233.44534659778878,0
section_02_source_test_normal_0024_v2pat_05.wav,205.56016493308843,0
section_02_source_test_normal_0025_v2pat_05.wav,210.08623633921488,0
section_02_source_test_normal_0026_v1pat_05.wav,411.45918550106177,1
section_02_source_test_normal_0027_v2pat_05.wav,205.18101322982315,0
section_02_source_test_normal_0028_v1pat_05.wav,219.28096786496266,0
section_02_source_test_normal_0029_v2pat_05.wav,215.44430706727363,0
section_02_source_test_normal_0030_v1pat_04.wav,374.7030583538502,1
section_02_source_test_normal_0031_v1pat_05.wav,226.33972326758126,0
section_02_source_test_normal_0032_v1pat_05.wav,749.4328953040794,1
section_02_source_test_normal_0033_v1pat_04.wav,386.41812979856127,1
section_02_source_test_normal_0034_v1pat_05.wav,206.76873950345072,0
section_02_source_test_normal_0035_v1pat_05.wav,213.9486714769045,0
section_02_source_test_normal_0036_v1pat_05.wav,271.6065176145603,0
section_02_source_test_normal_0037_v1pat_04.wav,172.22454545428198,0
section_02_source_test_normal_0038_v2pat_05.wav,268.11365069051953,0
section_02_source_test_normal_0039_v2pat_05.wav,279.1570041167813,0
section_02_source_test_normal_0040_v1pat_04.wav,344.04167219626254,1
section_02_source_test_normal_0041_v1pat_04.wav,190.65156904873763,0
section_02_source_test_normal_0042_v2pat_05.wav,599.7859947933314,1
section_02_source_test_normal_0043_v2pat_05.wav,166.62651462755238,0
section_02_source_test_normal_0044_v1pat_05.wav,193.6611703490135,0
section_02_source_test_normal_0045_v1pat_04.wav,244.75467307581104,0
section_02_source_test_normal_0046_v1pat_05.wav,278.32441856081266,0
section_02_source_test_normal_0047_v1pat_05.wav,350.60317441363156,1
section_02_source_test_normal_0048_v1pat_05.wav,216.48817007411375,0
section_02_source_test_normal_0049_v2pat_05.wav,175.19075179446975,0
section_02_target_test_normal_0000_v1pat_05_v2pat_05.wav,644.5999153836923,1
section_02_target_test_normal_0001_v1pat_04_v2pat_05.wav,403.0261975536046,1
section_02_target_test_normal_0002_v1pat_04_v2pat_05.wav,380.80138170901375,1
section_02_target_test_normal_0003_v1pat_05_v2pat_05.wav,405.71257955018564,1
section_02_target_test_normal_0004_v1pat_05_v2pat_05.wav,562.3186179863272,1
section_02_target_test_normal_0005_v1pat_04_v2pat_05.wav,419.0912158495189,1
section_02_target_test_normal_0006_v1pat_05_v2pat_05.wav,683.348711384186,1
section_02_target_test_normal_0007_v1pat_04_v2pat_05.wav,424.97715300220483,1
section_02_target_test_normal_0008_v1pat_04_v2pat_05.wav,446.225254186836,1
section_02_target_test_normal_0009_v1pat_05_v2pat_05.wav,361.244409995385,1
section_02_target_test_normal_0010_v1pat_05_v2pat_05.wav,398.9657474206171,1
section_02_target_test_normal_0011_v1pat_05_v2pat_05.wav,349.2898542814833,1
section_02_target_test_normal_0012_v1pat_04_v2pat_05.wav,398.90072312671685,1
section_02_target_test_normal_0013_v1pat_04_v2pat_05.wav,263.893014175948,0
section_02_target_test_normal_0014_v1pat_05_v2pat_05.wav,309.9943692350449,1
section_02_target_test_normal_0015_v1pat_05_v2pat_05.wav,359.3184011831499,1
section_02_target_test_normal_0016_v1pat_05_v2pat_05.wav,368.7715503591257,1
section_02_target_test_normal_0017_v1pat_05_v2pat_05.wav,321.78792519611176,1
section_02_target_test_normal_0018_v1pat_04_v2pat_05.wav,431.87781857604085,1
section_02_target_test_normal_0019_v1pat_05_v2pat_05.wav,365.67116277744856,1
section_02_target_test_normal_0020_v1pat_04_v2pat_05.wav,645.0908978086153,1
section_02_target_test_normal_0021_v1pat_05_v2pat_05.wav,566.6367283445023,1
section_02_target_test_normal_0022_v1pat_04_v2pat_05.wav,391.321217847479,1
section_02_target_test_normal_0023_v1pat_04_v2pat_05.wav,433.76424431491256,1
section_02_target_test_normal_0024_v1pat_04_v2pat_05.wav,458.19211389479887,1
